identifier|category|name
000|Stationary|Power Mac G5
00W|Server|Xserve(Late 2006)
01P|Laptop|MacBook (13-inch, Late 2007)
01V|Laptop|MacBook (13-inch, Late 2007)
01X|Laptop|MacBook (13-inch, Late 2007)
01Z|Laptop|MacBook (13-inch, Late 2007)
027|Laptop|MacBook Pro (17-inch, 2.4GHZ)
028|Laptop|MacBook Pro (17-inch, 2.4GHZ)
02D|Laptop|MacBook Pro (17-inch, 2.4GHZ)
02V|Laptop|MacBook Pro (15-inch, 2.4/2.2GHz)
02X|Stationary|iMac (20-inch, Mid 2007)
02Z|Laptop|MacBook (13-inch, Late 2007)
034|Laptop|MacBook (13-inch, Late 2007)
08S|Stationary|Mac Pro
09G|Stationary|Mac Pro
09H|Stationary|Mac Pro
09Q|Stationary|iMac (20-inch, Mid 2007)
09R|Laptop|MacBook Pro (17-inch, 2.4GHZ)
09S|Laptop|MacBook Pro (17-inch, 2.4GHZ)
0GN|Stationary|Mac Pro
0GP|Stationary|Mac Pro
0GV|Stationary|Mac Pro
0HA|Stationary|Mac Pro
0HB|Laptop|MacBook (13-inch, Late 2007)
0HC|Laptop|MacBook (13-inch, Late 2007)
0HW|Router|AirPort Express 802.11n (1st Generation)
0HX|Router|AirPort Express 802.11n (1st Generation)
0HY|Router|AirPort Express 802.11n (1st Generation)
0HZ|Router|AirPort Express 802.11n (1st Generation)
0JW|Mp3Player|iPod touch
0K0|Display|LED Cinema Display (24-inch, Late 2008)
0KH|Phone|iPhone (original)
0KM|Stationary|iMac (24-inch, Early 2008)
0KN|Software|Mac OS X 10.5
0KT|Stationary|Mac Pro
0KU|Stationary|Mac Pro
0KV|Stationary|Mac Pro
0KW|Stationary|Mac Pro
0KX|Stationary|Mac Pro
0KY|Stationary|Mac Pro
0KZ|Stationary|Mac Pro
0L0|Stationary|Mac Pro
0L1|Stationary|Mac Pro
0L2|Stationary|Mac Pro
0L3|Stationary|Mac Pro
0L4|Stationary|Mac Pro
0L5|Stationary|Mac Pro
0L6|Stationary|Mac Pro
0L7|Stationary|Mac Pro
0L8|Stationary|Mac Pro
0L9|Stationary|Mac Pro
0LA|Stationary|Mac Pro
0LB|Stationary|Mac Pro
0LC|Stationary|Mac Pro
0LD|Stationary|Mac Pro
0LE|Stationary|Mac Pro
0LH|Stationary|Mac Pro
0LL|Stationary|Mac Pro
0LM|Stationary|Mac Pro
0LN|Stationary|Mac Pro
0LP|Stationary|Mac Pro
0LQ|Laptop|MacBook Pro (15-inch, 2.4/2.2GHz)
0LR|Laptop|MacBook Pro (17-inch, 2.4GHZ)
0LS|Stationary|Mac Pro
0LT|Stationary|Mac Pro
